prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Rumah Pangsa Seri Ros,,400,Rawang,Flat,3,2,1,586,Not Furnished,"Parking, Playground",,Selangor
,,400,Bandar Sunway,Condominium,5,2,2,1300,Fully Furnished,"Minimart, Swimming Pool, Gymnasium, Sauna, Club house, Parking, Security, Playground, Jogging Track, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Taman Sentosa,,400,Klang,Apartment,2,1,1,750,Not Furnished,,,Selangor
Taman Asa Jaya,,400,Kajang,Flat,2,,1,603,Not Furnished,,"Cooking Allowed, Near KTM/LRT",Selangor
Taman Bukit Mewah (Kajang),,400,Kajang,Flat,2,,1,602,Not Furnished,,"Cooking Allowed, Near KTM/LRT",Selangor
Kenanga Apartment (Taman Bunga Raya) (Rawang),,400,Rawang,Apartment,3,3,2,800,Partially Furnished,"Parking, Playground, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Rumah Pangsa Mewah Indah,,400,Kajang,Flat,2,2,1,600,Not Furnished,,Cooking Allowed,Selangor
Taman Asa Jaya,,400,Kajang,Apartment,2,,1,484,Not Furnished,,Cooking Allowed,Selangor
Pangsapuri Baiduri (Bandar Tasik Kesuma),,400,Beranang,Apartment,3,,2,1000,Not Furnished,"Playground, Parking",,Selangor
Taman Asa Jaya,,400,Kajang,Apartment,2,,1,484,Not Furnished,,Cooking Allowed,Selangor
Apartment Idaman,,400,Petaling Jaya,Apartment,3,,2,650,Partially Furnished,,,Selangor
Ridzuan Condominium,1999,400,Bandar Sunway,Condominium,3,1,2,1190,Fully Furnished,"Gymnasium, Squash Court, Security, Minimart, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Bandar Teknologi Kajang Flat,,430,Semenyih,Flat,2,2,1,500,Not Furnished,"Parking, Playground, Minimart, Jogging Track",Cooking Allowed,Selangor
Residensi Vista Wirajaya,,450,Setapak,Apartment,3,,2,850,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
M3 Residency,2017,450,Setapak,Service Residence,5,,3,1092,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Parking, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Changkat View Condominium,2009,450,Solaris Dutamas,Condominium,3,,2,1100,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Desa Putra (Wangsa Maju),2007,450,Wangsa Maju,Condominium,4,,2,1246,Fully Furnished,"Security, Playground, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Rajawali Aparment (Bandar Country Homes),,450,Rawang,Apartment,2,,1,600,Not Furnished,Security,,Selangor
Suriamas,2004,450,Bandar Sunway,Condominium,3,1,2,1240,Fully Furnished,"Minimart, Playground, Barbeque area, Parking, Gymnasium, Swimming Pool, Jogging Track, Sauna, Security, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Lestari Apartment,,450,Petaling Jaya,Apartment,3,,2,650,Not Furnished,"Playground, Parking, Security, Lift, Minimart, Multipurpose hall, Jogging Track","Near KTM/LRT, Cooking Allowed",Selangor
