prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
The Olive,2020,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Akasa Cheras South,2021,1500,Cheras,Service Residence,2,2,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Balcony Seri Kasturi [Ready Move In Condition],,1500,Shah Alam,Apartment,3,,2,950,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track",,Selangor
Tiara Imperio @ Bangi,2019,1500,Kajang,Service Residence,2,2,1,638,Fully Furnished,,"Air-Cond, Cooking Allowed, Washing Machine",Selangor
Akasa Cheras South,2021,1500,Seri Kembangan,Service Residence,2,2,2,850,Partially Furnished,,"Air-Cond, Cooking Allowed",Selangor
Menara U2,2014,1500,Shah Alam,Service Residence,2,1,1,450,Fully Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Security, Squash Court, Sauna, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Ridzuan Condominium,1999,1500,Bandar Sunway,Condominium,3,1,2,1192,Fully Furnished,"Security, Minimart, Playground, Gymnasium, Squash Court, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Rhythm Avenue USJ19,2008,1500,Subang Jaya,Condominium,2,,2,789,Fully Furnished,"Lift, Sauna, Multipurpose hall, Security, Minimart, Gymnasium, Jogging Track, Playground, Swimming Pool, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
SK One Residence,2017,1500,Seri Kembangan,Service Residence,2,2,2,966,Fully Furnished,"Barbeque area, Multipurpose hall, Gymnasium, Security, Playground, Parking, Swimming Pool, Jogging Track",,Selangor
The Arc @ Cyberjaya,,1500,Cyberjaya,Service Residence,3,1,2,1000,Fully Furnished,"Parking, Jogging Track, Security, Swimming Pool, Playground, Gymnasium, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
The Olive,,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
The Olive,,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
Vega Residensi,2009,1500,Cyberjaya,Condominium,2,2,2,1000,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine",Selangor
"Pangsapuri Harmoni 1 RSKU, Putra Heights",,1500,Putra Heights,Apartment,3,,2,1000,Partially Furnished,"Parking, Security, Minimart, Swimming Pool, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Seri Kasturi (Setia Alam),2015,1500,Setia Alam,Apartment,3,,2,950,Partially Furnished,"Parking, Gymnasium, Playground, Security, Swimming Pool, Multipurpose hall",,Selangor
The olive sunsuria city,,1500,Sepang,Apartment,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Selangor
,,1500,Puchong,Service Residence,2,2,2,820,Partially Furnished,"Lift, Swimming Pool, Playground, Security, Parking, Gymnasium, Sauna, Multipurpose hall, Jogging Track","Cooking Allowed, Air-Cond",Selangor
The olive sunsuria city,,1500,Sepang,Apartment,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Selangor
,,1500,Puchong,Service Residence,3,2,2,850,Partially Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Jogging Track","Air-Cond, Cooking Allowed",Selangor
Gravit 8,,1500,Klang,Service Residence,2,2,2,717,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Minimart, Squash Court","Air-Cond, Cooking Allowed",Selangor
Amara Service Residences,2014,1500,Batu Caves,Service Residence,3,2,2,1012,Fully Furnished,"Playground, Gymnasium, Jogging Track, Barbeque area, Minimart, Swimming Pool, Security, Sauna, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Vista Alam Serviced Apartment,2014,1500,Shah Alam,Condominium,1,1,1,250,Fully Furnished,"Parking, Jogging Track, Security, Lift, Squash Court, Swimming Pool, Playground, Gymnasium, Sauna, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Verdi Eco-dominiums @ Symphony Hills,2016,1500,Cyberjaya,Condominium,1,1,1,790,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine",Selangor
One Damansara,2013,1500,Petaling Jaya,Condominium,3,2,2,1100,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Lift, Gymnasium, Minimart, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
The Olive,,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
The Olive,,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
Lakefront Homes @ Cyberjaya,2021,1500,Cyberjaya,Condominium,3,2,2,1010,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Minimart",Cooking Allowed,Selangor
Lakefront Homes @ Cyberjaya,2021,1500,Cyberjaya,Condominium,3,2,2,1010,Not Furnished,,,Selangor
Suria Subang Apartment,,1500,Shah Alam,Apartment,3,1,2,850,Partially Furnished,"Parking, Security, Lift, Playground","Cooking Allowed, Near KTM/LRT",Selangor
Saville @ Kajang,,1500,Kajang,Service Residence,3,3,2,1004,Partially Furnished,"Security, Parking, Gymnasium, Swimming Pool, Jogging Track",,Selangor
Ken Rimba Condominium 1,2018,1500,Shah Alam,Condominium,3,1,2,1119,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Selangor
Puri Tower,2014,1500,Puchong,Condominium,3,2,2,1200,Fully Furnished,"Playground, Barbeque area, Security, Swimming Pool, Parking, Minimart, Lift, Gymnasium, Club house, Jogging Track","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Tiara Imperio @ Bangi,2019,1500,Kajang,Service Residence,2,2,1,638,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Multipurpose hall","Washing Machine, Cooking Allowed",Selangor
Mutiara Ville @ Cyberjaya,2013,1500,Cyberjaya,Condominium,2,2,2,1000,Partially Furnished,"Gymnasium, Jogging Track, Playground, Minimart, Parking, Security, Swimming Pool, Lift, Barbeque area, Multipurpose hall, Squash Court, Tennis Court","Air-Cond, Cooking Allowed",Selangor
,,1500,Cheras,Condominium,3,2,2,1021,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Cyberia SmartHomes,2002,1500,Cyberjaya,Condominium,3,1,2,1300,Fully Furnished,"Tennis Court, Barbeque area, Club house, Security, Playground, Gymnasium, Parking, Minimart, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Selangor
Empire City,2015,1500,Damansara Perdana,Condominium,2,,2,1000,Partially Furnished,"Security, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Palm Spring @ Damansara,2005,1500,Kota Damansara,Condominium,3,2,2,1023,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Air-Cond,Selangor
Vista Bayu (Klang),,1500,Klang,Condominium,3,,2,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Sfera Residency,2018,1500,Seri Kembangan,Service Residence,3,2,2,996,Partially Furnished,"Minimart, Swimming Pool, Barbeque area, Multipurpose hall, Security, Gymnasium, Sauna, Parking, Squash Court, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Simfoni 1,2016,1500,Semenyih,Condominium,4,2,2,1055,Partially Furnished,"Gymnasium, Lift, Barbeque area, Parking, Security, Squash Court, Tennis Court, Sauna, Minimart, Playground, Swimming Pool, Multipurpose hall",,Selangor
The Olive,2020,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor
The Olive,2020,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor
The Wharf (Puchong),2014,1500,Puchong,Service Residence,3,1,2,883,Fully Furnished,"Parking, Gymnasium, Swimming Pool, Jogging Track, Playground, Multipurpose hall, Security","Air-Cond, Washing Machine, Cooking Allowed",Selangor
SkyPod Residences,2015,1500,Puchong,Service Residence,1,1,1,634,Fully Furnished,"Security, Minimart, Jogging Track, Lift, Parking, Playground, Squash Court, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Indahria Apartment (Shah Alam),2007,1500,Shah Alam,Apartment,3,,2,1010,Partially Furnished,"Gymnasium, Jogging Track, Playground, Security, Parking, Minimart, Swimming Pool",,Selangor
Kondo Idaman,,1500,Klang,Condominium,4,,2,1415,Fully Furnished,,,Selangor
The Edge Residen,2018,1500,Subang Jaya,Service Residence,2,2,2,700,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Selangor
H2O Residences,2017,1500,Ara Damansara,Service Residence,1,1,1,449,Fully Furnished,"Minimart, Playground, Swimming Pool, Lift, Barbeque area, Jogging Track, Security, Tennis Court, Sauna, Parking, Gymnasium, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Kelana Impian Apartment,,1500,Kelana Jaya,Apartment,3,1,2,882,Partially Furnished,"Parking, Security, Lift, Playground, Minimart, Jogging Track","Air-Cond, Cooking Allowed",Selangor
Apartment Putra 1,,1500,Kajang,Apartment,3,,2,1040,Fully Furnished,"Parking, Security, Playground, Swimming Pool",,Selangor
D'aman Crimson,2001,1500,Petaling Jaya,Condominium,3,1,2,854,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT",Selangor
Seri Kasturi (Setia Alam),2015,1500,Setia Alam,Apartment,3,,2,950,Partially Furnished,"Multipurpose hall, Security, Swimming Pool, Playground, Gymnasium, Parking, Lift, Minimart, Jogging Track, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Liberty Arc @ Ampang Ukay,,1500,Ampang,Condominium,1,1,1,450,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
,,1500,Puchong,Condominium,3,2,2,1076,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Minimart, Playground, Jogging Track, Security, 10, 11, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Lakefront Homes @ Cyberjaya,2021,1500,Cyberjaya,Condominium,3,,2,1010,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Cooking Allowed,Selangor
Residensi Sutera 7,,1500,Kajang,Service Residence,2,2,2,980,Fully Furnished,"Lift, Multipurpose hall, Parking, Security, Swimming Pool, Playground","Air-Cond, Cooking Allowed",Selangor
i-City,,1500,I-City,Service Residence,2,,2,806,Partially Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Hijauan Heights,2016,1500,Kajang,Condominium,3,2,2,1150,Fully Furnished,,,Selangor
LBS Skylake Residence,2021,1500,Puchong,Service Residence,2,2,2,883,Partially Furnished,"Jogging Track, Playground, Security, Lift, Barbeque area, Sauna, Multipurpose hall, Swimming Pool, Gymnasium",,Selangor
Hillpark Residence,,1500,Semenyih,Service Residence,3,2,2,920,Fully Furnished,"Parking, Lift, Security, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Washing Machine, Air-Cond",Selangor
Casa Tiara,,1500,Subang Jaya,Service Residence,1,1,1,560,Fully Furnished,"Multipurpose hall, Barbeque area, Swimming Pool, Playground, Gymnasium, Squash Court, Security, Minimart, Parking, Lift, Sauna, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Pearl Avenue,2013,1500,Kajang,Condominium,3,2,2,1101,Fully Furnished,"Security, Playground, Gymnasium, Lift, Swimming Pool, Jogging Track, Multipurpose hall",,Selangor
Res 280,2017,1500,Batu Caves,Service Residence,2,2,2,890,Partially Furnished,"Gymnasium, Playground, Jogging Track, Lift, Parking, Swimming Pool, Security","Air-Cond, Cooking Allowed",Selangor
Puri Aiyu,2006,1500,Shah Alam,Apartment,3,1,2,1009,Partially Furnished,"Security, Swimming Pool, Gymnasium, Playground, Parking, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
The Arc @ Cyberjaya,,1500,Cyberjaya,Condominium,3,1,2,1000,Partially Furnished,"Sauna, Jogging Track, Security, Playground, Swimming Pool, Parking, Minimart, Gymnasium",,Selangor
Pangsapuri Akasia (Bandar Botanic),,1500,Klang,Apartment,3,,2,850,Partially Furnished,Parking,,Selangor
The Olive,,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
BSP Skypark Serviced Residence,,1500,Kuala Langat,Service Residence,3,2,2,1004,Fully Furnished,"Lift, Security, Gymnasium, Squash Court, Parking, Swimming Pool, Minimart, Playground, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Residensi Zamrud @ Kajang,2019,1500,Kajang,Condominium,3,,2,1055,Fully Furnished,"Parking, Swimming Pool, Security, Gymnasium, Playground, Lift","Near KTM/LRT, Cooking Allowed, Air-Cond",Selangor
The Olive,,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
The Olive,,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
Akasa Cheras South,2021,1500,Seri Kembangan,Service Residence,2,2,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Main Place Residence,2014,1500,USJ,Service Residence,2,1,1,615,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Kasturi Idaman,2010,1500,Kota Damansara,Condominium,3,2,2,945,Fully Furnished,"Security, Minimart, Swimming Pool, Lift, Playground, Gymnasium, Parking",,Selangor
Semarak & Penaga Condominium,,1500,Batu Caves,Condominium,3,,2,1206,Partially Furnished,"Sauna, Barbeque area, Multipurpose hall, Swimming Pool, Gymnasium, Playground, Jogging Track",,Selangor
Res 280,2017,1500,Batu Caves,Service Residence,2,,2,877,Partially Furnished,"Gymnasium, Security, Swimming Pool, Jogging Track, Lift, Parking, Playground",,Selangor
Ridzuan Condominium,1999,1500,Bandar Sunway,Condominium,3,1,2,1192,Fully Furnished,"Minimart, Squash Court, Security, Playground, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Gravit8,2018,1500,Port Klang,Service Residence,2,2,1,637,Partially Furnished,"Parking, Security, Lift, Playground, Gymnasium, Swimming Pool, Multipurpose hall",,Selangor
The Olive,2020,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor
The Olive,2020,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor
,,1500,Cheras,Condominium,3,2,2,942,Fully Furnished,"Parking, Lift, Security, Swimming Pool, Gymnasium, Minimart","Cooking Allowed, Washing Machine, Air-Cond",Selangor
The Olive,2020,1500,Sepang,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Ara Sentral,,1500,Ara Damansara,Condominium,1,1,1,550,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
La Thea Residences,2016,1500,Puchong,Condominium,2,2,2,787,Fully Furnished,"Gymnasium, Security, Jogging Track, Parking, Swimming Pool, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Tiara Imperio @ Bangi,2019,1500,Kajang,Service Residence,2,2,1,455,Fully Furnished,,Air-Cond,Selangor
,,1501,Cheras,Condominium,3,1,2,851,Partially Furnished,"Tennis Court, Barbeque area, Security, Jogging Track, Multipurpose hall, Playground, Swimming Pool, Parking, Lift, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
,,1502,Cheras,Condominium,3,1,2,852,Partially Furnished,"Tennis Court, Barbeque area, Security, Jogging Track, Multipurpose hall, Playground, Swimming Pool, Parking, Lift, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Kiambang Apartment,,1520,Puchong,Apartment,3,2,1,920,Fully Furnished,,,Selangor
Residensi Suria Pantai,2020,1548,Pantai,Apartment,3,1,2,810,Partially Furnished,"Parking, Swimming Pool, Multipurpose hall, Security, Minimart, Playground, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Impiana Sky Residensi,2021,1548,Bukit Jalil,Apartment,3,1,2,850,Partially Furnished,"Gymnasium, Multipurpose hall, Security, Parking, Playground, Lift, Swimming Pool, Minimart","Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine",Kuala Lumpur
Arte Plus Jalan Ampang,2018,1550,Ampang,Service Residence,1,1,1,700,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Suasana Lumayan,2015,1550,Cheras,Condominium,4,1,2,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Sentrio Suites,2017,1550,Desa Pandan,Service Residence,1,1,1,570,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Sky Awani Residensi,,1550,Sentul,Condominium,3,,2,900,Partially Furnished,"Barbeque area, Swimming Pool, Security, Minimart, Playground, Parking, Lift, Gymnasium, Multipurpose hall, Jogging Track",Air-Cond,Kuala Lumpur
Residensi Vista Wirajaya,,1550,Setapak,Apartment,3,1,2,850,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Arte Plus Jalan Ampang,2018,1550,Ampang,Service Residence,1,1,1,679,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Enesta,2021,1550,Kepong,Service Residence,3,1,2,916,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
Arte Plus Jalan Ampang,2018,1550,Ampang,Condominium,1,1,1,679,Fully Furnished,"Parking, Playground, Gymnasium, Swimming Pool, Lift, Security, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Panorama Residences (Sentul),2014,1550,Sentul,Condominium,3,,2,1050,Fully Furnished,"Tennis Court, Playground, Jogging Track, Security, Minimart, Swimming Pool, Gymnasium, Multipurpose hall",,Kuala Lumpur
Bintang Mas,2017,1550,Cheras,Condominium,4,1,2,1307,Partially Furnished,"Swimming Pool, Security, Playground, Parking, Lift, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Suasana Lumayan,2015,1550,Cheras,Condominium,4,1,2,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Sky Awani Residensi,,1550,Sentul,Condominium,3,1,2,900,Partially Furnished,"Security, Playground, Barbeque area, Parking, Minimart, Jogging Track, Club house, Swimming Pool, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Danau Kota Suite Apartments,2018,1550,Setapak,Condominium,3,1,2,969,Partially Furnished,"Security, Parking, Playground, Swimming Pool, Lift, Minimart, Gymnasium, Jogging Track",,Kuala Lumpur
Suasana Lumayan,2015,1550,Cheras,Condominium,3,1,2,1140,Partially Furnished,"Minimart, Sauna, Playground, Security, Gymnasium",,Kuala Lumpur
Enesta,2021,1550,Kepong,Service Residence,3,,2,980,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
M Vertica,2023,1550,Cheras,Condominium,3,1,2,850,Partially Furnished,"Tennis Court, Security, Barbeque area, Parking, Playground, Lift, Swimming Pool, Jogging Track, Multipurpose hall, Gymnasium, Minimart","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
Sentul Point Suite Apartment,2020,1550,Sentul,Apartment,3,1,2,850,Partially Furnished,"Parking, Minimart, Playground, Gymnasium, Swimming Pool, Security, Squash Court, Lift, Multipurpose hall, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Danau Kota Suite Apartments,2018,1550,Setapak,Condominium,3,1,2,969,Partially Furnished,"Gymnasium, Jogging Track, Lift, Parking, Security, Minimart, Playground, Swimming Pool",,Kuala Lumpur
Villa Wangsamas,2010,1550,Wangsa Maju,Condominium,3,1,2,800,Not Furnished,"Security, Playground, Parking, Squash Court, Jogging Track, Minimart, Gymnasium, Swimming Pool, Lift","Air-Cond, Near KTM/LRT",Kuala Lumpur
Angkasa Condominiums,2005,1550,Cheras,Condominium,3,1,2,920,Fully Furnished,"Security, Tennis Court, Parking, Gymnasium, Playground, Swimming Pool, Minimart, Lift, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Residensi Wangsamas,,1550,Wangsa Maju,Apartment,3,1,2,850,Partially Furnished,"Multipurpose hall, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Platinum Lake PV 21,,1550,Setapak,Service Residence,2,1,2,900,Fully Furnished,,,Kuala Lumpur
Suasana Lumayan,2015,1550,Cheras,Condominium,4,1,2,1142,Partially Furnished,"Gymnasium, Sauna, Minimart, Security, Playground, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
Residensi Wangsamas,,1550,Wangsa Maju,Apartment,3,1,2,800,Partially Furnished,Multipurpose hall,"Air-Cond, Near KTM/LRT",Kuala Lumpur
Pandan Court,2001,1550,Ampang,Apartment,3,1,2,828,Fully Furnished,"Parking, Minimart, Swimming Pool, Security, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Casa Green (Bukit Jalil),,1550,Bukit Jalil,Condominium,3,2,3,1003,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Cengal Condominium,2001,1550,Cheras,Condominium,3,1,2,850,Fully Furnished,"Playground, Security, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Enesta,2021,1550,Kepong,Service Residence,3,,2,980,Partially Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Suria Pantai,2020,1550,Pantai,Apartment,3,,2,810,Fully Furnished,"Playground, Swimming Pool, Multipurpose hall, Parking, Security, Lift","Cooking Allowed, Washing Machine",Kuala Lumpur
Casa Green Bukit Jalil,,1550,Bukit Jalil,Condominium,3,1,3,1003,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Club house, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Suria Pantai,2020,1550,Pantai,Apartment,3,1,2,810,Partially Furnished,"Security, Multipurpose hall, Swimming Pool, Minimart, Parking, Playground, Lift, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
PPA1M Metropolitan Kepong,2018,1550,Kepong,Condominium,4,2,2,1200,Partially Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed",Kuala Lumpur
Chymes @ Gurney,2016,1550,Keramat,Condominium,2,2,2,950,Partially Furnished,,,Kuala Lumpur
Platinum Lake PV 21,,1550,Setapak,Condominium,2,1,2,910,Fully Furnished,,,Kuala Lumpur
